,0,1,2,3,4,5,6
245,39930.0,443.0,0,4,0,65,563
246,443.0,39930.0,0,3,0,959,66
247,24007.0,3697.0,0,18,0,504,29536
248,55128.0,3697.0,0,5,0,90,20047
249,31636.0,3697.0,0,5,0,90,20047
250,39930.0,443.0,0,3,0,61,223
251,443.0,39930.0,0,3,0,50,0
252,3785.0,3697.0,0,1,0,18,0
253,16942.0,3697.0,0,1,0,18,0
254,41530.0,27376.0,0,216,0,45776,4904
255,27376.0,41530.0,0,198,0,49324,2801
256,443.0,3697.0,0,1,0,18,0
257,443.0,3697.0,0,1,0,18,0
258,8759.0,55468.0,0,2,0,20,0
259,2043.0,3697.0,0,5,0,90,20160
260,50341.0,3697.0,0,5,0,90,20160
261,44254.0,36850.0,0,4,0,71,2727
262,1699.0,3697.0,0,1,0,18,0
263,49813.0,3697.0,0,1,0,18,0
264,40001.0,3697.0,0,1,0,18,0
265,39930.0,443.0,0,15,0,167,18078
266,443.0,39930.0,0,15,0,174,16819
267,25859.0,59261.0,0,7,0,122,5836
268,24055.0,34820.0,0,6,0,122,5835
269,24007.0,3697.0,0,15,0,420,29973
270,443.0,3697.0,0,1,0,18,0
271,443.0,3697.0,0,1,0,18,0
272,17928.0,49608.0,0,5,0,59,0
273,41530.0,27376.0,0,223,0,45710,5522
274,27376.0,41530.0,0,170,0,50530,2856
275,45829.0,51583.0,0,5,0,103,0
276,45829.0,51586.0,0,5,0,73,0
277,443.0,34311.0,0,6,0,104,0
278,7234.0,39471.0,0,15,0,333,19967
279,39471.0,7234.0,0,17,0,133,828
280,64670.0,42245.0,0,13,0,331,17258
281,42245.0,64670.0,0,15,0,208,886
282,17928.0,49607.0,0,10,0,246,8004
283,49607.0,17928.0,0,12,0,149,868
284,31636.0,48589.0,0,8,0,216,1404
285,48589.0,31636.0,0,10,0,140,853
286,35539.0,3697.0,0,5,0,90,20092
287,37570.0,3697.0,0,5,0,90,20091
288,63365.0,3697.0,0,1,0,18,0
289,55444.0,3697.0,0,1,0,18,0
290,443.0,3697.0,0,1,0,18,0
291,443.0,3697.0,0,1,0,18,0
292,39930.0,443.0,0,29,0,577,29105
293,443.0,39930.0,0,29,0,1258,29014
294,24007.0,3697.0,0,19,0,532,29728
295,41530.0,27376.0,0,225,0,36221,5194
296,27376.0,41530.0,0,212,0,34251,2914
297,27376.0,3697.0,0,1,0,18,0
298,7234.0,3697.0,0,1,0,19,0
299,64670.0,3697.0,0,1,0,19,0
300,17928.0,3697.0,0,1,0,19,0
301,31636.0,3697.0,0,1,0,19,0
302,7234.0,39471.0,0,8,0,120,4083
303,64670.0,42245.0,0,8,0,120,4084
304,17928.0,49607.0,0,8,0,120,4083
305,31636.0,48589.0,0,59,0,4381,5679
306,40001.0,3697.0,0,2,0,36,3988
307,24195.0,37366.0,0,5,0,45,0
308,50341.0,40483.0,0,10,0,164,1376
309,40483.0,50341.0,0,10,0,176,1193
310,18260.0,54584.0,0,10,0,192,1208
311,54584.0,18260.0,0,10,0,139,1004
312,44908.0,37512.0,0,10,0,156,1832
313,37512.0,44908.0,0,10,0,165,1922
314,24195.0,37365.0,0,11,0,199,1832
315,37365.0,24195.0,0,10,0,145,2045
316,3453.0,55061.0,0,5,0,45,0
317,48212.0,43349.0,0,5,0,63,0
318,45556.0,3697.0,0,5,0,90,20066
319,24260.0,3697.0,0,5,0,90,20066
320,52847.0,46634.0,0,5,0,49,0
321,52847.0,46638.0,0,5,0,52,0
322,443.0,41176.0,0,6,0,132,0
323,5700.0,3697.0,0,1,0,18,0
324,54563.0,3697.0,0,1,0,18,0
325,40001.0,3697.0,0,1,0,18,0
326,62472.0,58097.0,0,12,0,1536,12354
327,58097.0,62472.0,0,13,0,157,1228
328,35539.0,58834.0,0,12,0,1486,12351
329,58834.0,35539.0,0,13,0,140,1026
330,48212.0,43346.0,0,12,0,1467,12353
331,43346.0,48212.0,0,13,0,187,1323
332,63365.0,52391.0,0,9,0,153,5499
333,52391.0,63365.0,0,11,0,165,1248
334,443.0,3697.0,0,1,0,18,0
335,443.0,3697.0,0,1,0,18,0
336,3453.0,55056.0,0,195,0,56554,10174
337,55056.0,3453.0,0,116,0,55712,12476
338,39930.0,443.0,0,12,0,156,11672
339,443.0,39930.0,0,12,0,156,11544
