,0,1,2,3,4,5,6
201,35289.0,80.0,0,5,0,456,0
202,80.0,45269.0,0,39,0,3509,2451
203,45269.0,80.0,0,66,0,2401,2369
204,80.0,49441.0,0,34,0,377,0
205,49441.0,80.0,0,35,0,35122,142
206,80.0,32879.0,0,8,0,408,0
207,32879.0,80.0,0,6,0,2771,0
208,80.0,42217.0,0,25,0,305,0
209,80.0,42218.0,0,45,0,2385,28756
210,42217.0,80.0,0,24,0,22462,41
211,42218.0,80.0,0,53,0,53530,28880
212,80.0,53284.0,0,7,0,797,0
213,53284.0,80.0,0,6,0,756,169
214,80.0,43540.0,0,13,0,297,0
215,80.0,35438.0,0,6,0,772,0
216,35438.0,80.0,0,5,0,254,0
217,443.0,50328.0,0,2,0,41,0
218,50328.0,443.0,0,2,0,41,0
219,54282.0,80.0,0,22,0,22662,498
220,48014.0,443.0,0,2,0,41,0
221,443.0,48014.0,0,2,0,41,0
222,443.0,48599.0,0,2,0,41,0
223,48599.0,443.0,0,2,0,41,0
224,443.0,47992.0,0,2,0,41,0
225,47992.0,443.0,0,2,0,41,0
226,443.0,51723.0,0,13,0,2288,3128
227,51723.0,443.0,0,11,0,1981,2134
228,80.0,52869.0,0,3,0,1347,0
229,52869.0,80.0,0,3,0,248,0
230,58536.0,80.0,0,2,0,299,0
231,53.0,33294.0,0,2,0,160,0
232,33294.0,53.0,0,2,0,176,0
233,443.0,51724.0,0,12,0,2260,2997
234,51724.0,443.0,0,10,0,1670,4053
235,53.0,49146.0,0,2,0,74,0
236,49146.0,53.0,0,2,0,90,0
237,443.0,51722.0,0,8,0,635,5995
238,51722.0,443.0,0,6,0,150,0
239,53.0,56139.0,0,2,0,76,0
240,53.0,53146.0,0,2,0,64,0
241,53.0,55892.0,0,1,0,32,0
242,56139.0,53.0,0,2,0,92,0
243,53146.0,53.0,0,2,0,80,0
244,55892.0,53.0,0,1,0,48,0
245,80.0,54312.0,0,10,0,1686,0
246,54312.0,80.0,0,10,0,6148,26
247,443.0,52604.0,0,92,0,11541,1951
248,52604.0,443.0,0,146,0,35130,441
249,53.0,48829.0,0,2,0,74,0
250,48829.0,53.0,0,2,0,90,0
251,443.0,43115.0,0,6,0,1658,0
252,43115.0,443.0,0,6,0,557,0
253,80.0,45297.0,0,8,0,2672,2065
254,45297.0,80.0,0,7,0,2818,2192
255,80.0,46930.0,0,7,0,1520,0
256,46930.0,80.0,0,7,0,837,49
257,80.0,46932.0,0,6,0,1593,0
258,46932.0,80.0,0,6,0,789,0
259,80.0,46933.0,0,6,0,1521,0
260,46933.0,80.0,0,6,0,877,0
261,80.0,46934.0,0,7,0,1521,0
262,80.0,46935.0,0,7,0,1526,0
263,46934.0,80.0,0,7,0,788,29
264,46935.0,80.0,0,5,0,847,0
265,80.0,46936.0,0,7,0,1519,0
